Current Test,Time,X,Y,Z,X2,Y2,Z2
,8369,1163.2573,427.89734,521.9541,,,
,8387,1163.2573,427.89734,521.9541,,,
,8406,1138.868,423.3982,519.077,,,
,8441,1099.4635,415.97156,518.5971,,,
,8473,1090.2927,414.95996,530.3505,,,
,8522,1151.272,434.61115,564.7085,,,
,8539,0.0,0.0,0.0,,,
,9206,1550.9183,468.7171,548.30273,,,
,9223,1541.3418,433.03192,517.67017,,,
,9240,1522.379,402.1621,495.8042,,,
,9256,1500.5955,377.82257,470.81522,,,
,9272,1470.1506,364.1112,458.48016,,,
,9289,1450.7499,352.15637,442.49643,,,
,9306,1424.7285,338.20764,424.45953,,,
,9336,1399.1992,324.67688,405.80124,,,
,9352,1377.3176,317.60144,392.828,,,
,9370,1352.8804,310.70392,375.79025,,,
,9386,1331.1051,305.3968,364.3281,,,
,9403,1311.84,300.52948,356.38562,,,
,9419,1289.3397,297.22565,350.0527,,,
,9437,1261.5381,294.74255,348.20493,,,
,9453,1238.4708,293.56763,345.22424,,,
,9471,1215.0105,294.02966,342.06522,,,
,9487,1197.036,296.09106,338.38766,,,
,9508,1170.5671,301.93848,336.30276,,,
,9536,1160.5436,305.77863,334.39026,,,
,9554,1153.6553,309.95984,332.7488,,,
,9571,1146.5938,312.47516,331.21527,,,
,9602,1141.8391,316.58832,329.7545,,,
,9621,1150.8411,323.30164,328.9845,,,
,9639,1163.394,328.7339,329.4709,,,
,9673,1179.6622,336.1944,330.17886,,,
,9706,1222.1593,350.26398,332.49774,,,
,9737,1266.4194,365.07794,330.21924,,,
,9769,1278.0779,380.8322,337.51727,,,
,9786,1287.9789,389.7445,343.28113,,,
,9805,1291.0645,398.4151,347.46185,,,
,9838,1300.9381,417.6391,354.37347,,,
,9871,1301.7838,447.5548,370.4172,,,
,9902,1316.3029,470.92743,377.36267,,,
,9936,1323.4817,506.61157,382.60602,,,
,9969,1327.2184,540.8944,390.34317,,,
,9987,1332.6046,554.26086,396.03232,,,
,10037,1369.0122,609.88074,407.87375,,,
,10069,1380.3729,624.66797,413.7376,,,
,10102,1404.035,645.4403,425.06033,,,
,10136,1473.2793,665.57715,424.20377,,,
,10175,1539.1815,662.6787,431.81995,,,
,10191,1566.8715,651.31836,430.5774,,,
,10208,1589.8868,635.1949,430.79434,,,
,10225,1602.3921,619.849,429.4739,,,
,10244,1622.9194,596.2266,425.17273,,,
,10259,1633.6411,575.59094,423.25085,,,
,10277,1632.0299,553.365,418.88174,,,
,10292,1628.0759,531.8657,414.4303,,,
,10310,1614.1599,513.43774,410.48108,,,
,10326,1614.1599,513.43774,410.48108,,,
,10344,1598.7554,496.7553,405.08295,,,
,10359,1577.4585,483.14764,397.86655,,,
,10377,1552.0131,473.4289,390.99823,,,
,10392,1524.3951,466.1446,386.03336,,,
,10409,1497.9965,463.5605,382.22003,,,
,10425,1471.461,467.6385,380.79657,,,
,10444,1441.4875,474.9906,382.40082,,,
,10458,1414.6976,488.91394,386.843,,,
,10476,1392.2222,507.13007,392.3233,,,
,10493,1370.5123,528.6048,401.67065,,,
,10508,1370.5123,528.6048,401.67065,,,
,10525,1362.3005,552.0862,416.65634,,,
,10541,1358.896,573.56226,428.26187,,,
,10561,1362.5054,592.2262,437.56177,,,
,10575,1370.6252,605.90063,446.31107,,,
,10592,1384.2961,620.69946,456.53702,,,
,10609,1406.7711,636.3226,466.88245,,,
,10625,1425.2618,646.18964,475.62735,,,
,10642,1431.5403,649.5401,478.59674,,,
,10659,1461.8634,655.9534,486.41736,,,
,10676,1483.187,655.05896,489.9862,,,
,10692,1505.0505,652.82745,493.51712,,,
,10708,1545.9873,640.007,496.05902,,,
,10725,1545.9873,640.007,496.05902,,,
,10742,1574.4716,628.04047,494.84628,,,
,10759,1582.1993,611.9885,487.475,,,
,10777,1587.4635,595.59204,482.46725,,,
,10792,1607.8561,574.2883,472.7409,,,
,10809,1616.9741,553.7842,467.40262,,,
,10826,1614.8636,534.0968,464.76566,,,
,10842,1609.3715,515.5303,462.90625,,,
,10859,1599.0481,495.4099,454.799,,,
,10876,1582.9277,479.39362,450.17346,,,
,10892,1566.8744,461.54102,442.44858,,,
,10908,1545.1497,448.9251,436.7814,,,
,10926,1518.5033,439.36707,432.7062,,,
,10942,1492.3589,433.29376,429.88522,,,
,10959,1492.3589,433.29376,429.88522,,,
,10976,1463.1919,428.27374,425.49506,,,
,10993,1434.9156,425.98853,422.47647,,,
,11008,1407.685,426.81567,420.94733,,,
,11026,1380.4121,430.29767,420.7224,,,
,11042,1354.5298,438.62378,418.81924,,,
,11059,1333.0769,451.84912,419.77933,,,
,11076,1307.5739,470.61377,431.47125,,,
,11093,1294.8275,485.15375,439.17432,,,
,11109,1285.7126,500.49103,446.47546,,,
,11125,1278.465,515.7501,455.44592,,,
,11142,1278.465,515.7501,455.44592,,,
,11159,1276.4391,533.6883,462.746,,,
,11175,1273.04,547.14795,470.2309,,,
,11192,1275.1456,567.32965,480.39337,,,
,11209,1277.0004,576.6686,485.35474,,,
,11225,1293.0865,596.37537,495.85315,,,
,11242,1310.79,610.9845,506.32758,,,
,11259,1327.2234,621.02893,513.6052,,,
,11275,1333.6471,627.55615,520.33075,,,
,11293,1342.4376,631.6017,524.66406,,,
,11312,1389.9796,642.4696,511.5709,,,
,11336,1435.9623,632.4392,501.8753,,,
,11353,1459.8661,626.8765,506.7806,,,
,11370,1492.0781,617.5936,518.004,,,
,11387,1519.0514,605.21313,527.4662,,,
,11403,1547.6422,586.2004,521.7512,,,
,11421,1562.6292,568.93,520.8102,,,
,11438,1570.2673,553.8376,517.96045,,,
,11453,1592.7924,537.044,518.88513,,,
,11470,1604.3739,522.94434,519.2964,,,
,11487,1613.5798,503.26044,519.5552,,,
,11504,1612.9119,488.50134,518.5645,,,
,11521,1611.5004,472.08667,515.95874,,,
,11538,1596.9999,462.07312,513.99005,,,
,11554,1587.1405,446.4192,508.49747,,,
,11572,1571.1058,432.31818,504.58722,,,
,11587,1571.1058,432.31818,504.58722,,,
,11604,1554.615,417.69446,498.55392,,,
,11622,1536.0674,410.42438,496.40582,,,
,11638,1515.1172,405.74255,493.68304,,,
,11655,1515.1172,405.74255,493.68304,,,
,11670,1490.3224,402.24133,489.22656,,,
,11686,1463.0715,401.6383,486.7483,,,
,11705,1435.2887,401.63916,484.8306,,,
,11721,1404.3323,406.30597,483.6254,,,
,11738,1375.9309,414.34235,483.01025,,,
,11755,1350.1088,424.09174,483.08295,,,
