Current Test,Time,X,Y,Z,X2,Y2,Z2,PWMValue
,6994,1116.5015,424.82953,412.69662,,,,3
,7011,1124.9265,424.84448,411.99905,,,,3
,7028,1134.0311,425.46918,412.29797,,,,3
,7046,1146.8389,425.6184,412.52563,,,,3
,7062,1159.445,425.72534,413.62384,,,,3
,7078,1170.5583,424.0113,414.09933,,,,3
,7095,1177.1484,422.82928,414.7824,,,,3
,7112,1180.563,421.88885,414.82635,,,,3
,7142,1182.6885,419.3324,411.68155,,,,3
,7159,1181.8687,417.66614,408.57388,,,,3
,7177,1175.4012,414.97565,402.45105,,,,3
,7193,1161.2543,411.71667,393.65982,,,,3
,7209,1137.3876,407.4854,383.15857,,,,3
,7226,1113.9036,402.99274,372.56158,,,,3
,7243,1113.9036,402.99274,372.56158,,,,3
,7260,1113.9036,402.99274,372.56158,,,,3
,7276,1085.153,400.8396,361.75336,,,,3
,7294,1056.1318,396.79883,350.18478,,,,3
,7309,1022.9691,393.73804,338.88974,,,,3
,7326,996.84155,391.21857,330.94525,,,,3
,7343,971.91406,389.14185,323.2599,,,,3
,7360,948.017,386.5937,317.60846,,,,3
,7376,922.3886,384.5479,313.98184,,,,3
,7393,904.1673,383.44647,312.06433,,,,3
,7409,889.7589,382.6919,312.91254,,,,3
,7428,881.25714,382.29175,313.24323,,,,3
,7442,876.4714,381.7921,314.1518,,,,3
,7461,875.14514,381.68842,314.91382,,,,3
,7478,875.9269,381.60065,315.964,,,,3
,7500,880.9078,380.87024,318.0115,,,,3
,7531,916.9925,376.51575,328.79645,,,,3
,7544,944.6037,372.40405,335.2197,,,,3
,7572,996.5292,364.3656,344.24527,,,,3
,7593,1019.32074,359.16907,347.91705,,,,3
,7610,1019.32074,359.16907,347.91705,,,,3
,7627,1039.7626,355.36993,350.20892,,,,3
,7645,1055.0563,351.90802,352.50638,,,,3
,7663,1065.2821,350.10114,354.3359,,,,3
,7679,1070.1913,348.3222,355.2262,,,,3
,7699,1073.223,345.5924,353.5705,,,,3
,7714,1073.3344,336.44446,346.16965,,,,3
,7731,1066.468,324.64276,334.07257,,,,3
,7747,1051.6066,310.09137,319.86365,,,,3
,7764,1028.8613,296.5553,308.8119,,,,3
,7782,1006.2699,283.21088,300.18835,,,,3
,7799,986.4232,268.87732,294.04327,,,,3
,7814,968.6046,255.05023,289.8904,,,,3
,7831,956.65955,243.4425,287.97305,,,,3
,7850,945.63055,233.61316,288.66855,,,,3
,7864,945.63055,233.61316,288.66855,,,,3
,7881,933.19556,214.19763,292.81378,,,,3
,7898,933.19556,214.19763,292.81378,,,,3
,7914,933.4073,205.67822,293.80835,,,,3
,7931,940.0723,199.9198,296.1529,,,,3
,7950,950.8239,196.65955,298.79102,,,,3
,7965,969.1177,195.2273,304.32703,,,,3
,7981,992.8324,196.89154,311.568,,,,3
,7997,1023.7986,201.79132,320.3354,,,,3
,8014,1056.6416,211.44421,329.53177,,,,3
,8031,1086.3687,221.51709,337.99234,,,,3
,8048,1116.669,236.396,348.86993,,,,3
,8065,1146.5912,251.86133,358.726,,,,3
,8082,1173.8214,264.99573,366.55505,,,,3
,8097,1198.3807,283.43616,375.7127,,,,3
,8114,1198.3807,283.43616,375.7127,,,,3
,8130,1222.1449,297.97302,383.30844,,,,3
,8147,1243.4387,314.50696,390.90686,,,,3
,8167,1262.2817,329.4721,397.428,,,,3
,8181,1275.4076,342.96777,402.7622,,,,3
,8198,1285.9435,351.62347,407.0548,,,,3
,8215,1291.1376,358.90784,407.21866,,,,3
,8233,1292.1329,360.97876,406.5776,,,,3
,8248,1291.3285,361.5929,405.7638,,,,3
,8265,1286.8651,360.8327,401.7545,,,,3
,8281,1271.0547,355.36334,392.1485,,,,3
,8299,1243.6494,342.55402,377.7575,,,,3
,8314,1213.3688,328.75488,366.08908,,,,3
,8334,1182.4993,314.91235,360.03793,,,,3
,8350,1182.4993,314.91235,360.03793,,,,3
,8364,1151.7246,297.86627,348.9708,,,,3
,8381,1121.8647,286.3686,341.71265,,,,3
,8397,1096.2598,271.88922,338.86932,,,,3
,8414,1073.0698,260.65576,337.12006,,,,3
,8431,1056.0709,252.33289,337.28772,,,,3
,8447,1045.6698,247.59955,336.9292,,,,3
,8464,1045.6698,247.59955,336.9292,,,,3
,8481,1038.6217,242.9477,338.89215,,,,3
,8497,1037.0571,241.45825,340.81604,,,,3
,8515,1038.1647,240.86426,343.19446,,,,3
,8531,1044.51,242.53076,350.41745,,,,3
,8549,1060.9998,250.11816,362.53268,,,,3
,8565,1084.4557,262.10876,375.66214,,,,3
,8582,1109.5807,276.88678,388.4343,,,,3
,8597,1133.7775,290.11334,398.8706,,,,3
